sta,date,rain,flood_L
1,20221018,0,0
2,20221020,0,0
3,20221020,0,0
4,20221021,0,0
5,20221022,0,3
6,20221022,0,3
7,20221022,0,3
8,20221022,0,3
9,20221031,0,0
10,20221101,0,0
11,20221105,0,5
12,20221107,0,0
13,20221107,0,0
14,20221107,0,0
15,20221107,0,0
16,20221108,0,0
17,20221118,0,0
18,20221123,0,0
19,20230109,0,0
20,20230109,0,0
21,20230110,0,0
22,20230525,0,0
23,20230525,0,0
24,20230615,0,0
25,20221010,0.01,0
26,20221010,0.01,32
27,20221012,0.01,15
28,20221012,0.01,15
29,20221012,0.01,15
30,20221012,0.01,15
31,20221012,0.01,15
32,20221012,0.01,15
33,20221012,0.01,15
34,20221013,0.01,0.3
35,20221013,0.01,30
36,20221013,0.01,5
37,20221017,0.01,3
38,20221020,0.01,21
39,20221020,0.01,0
40,20221020,0.01,0
41,20221022,0.01,15
42,20221022,0.01,30
43,20221022,0.01,18
44,20221026,0.01,3
45,20221026,0.01,3
46,20221026,0.01,3
47,20221026,0.01,3
48,20221026,0.01,3
49,20221010,0.02,0
50,20221020,0.02,10
51,20221020,0.02,0
52,20221020,0.02,10
53,20221020,0.02,10
54,20221020,0.02,10
55,20221021,0.02,3
56,20221124,0.02,0
57,20221010,0.03,0
58,20221012,0.03,8
59,20221012,0.03,0
60,20221012,0.03,13
61,20221020,0.03,5
62,20221020,0.03,5
63,20221020,0.03,5
64,20221020,0.03,5
65,20221021,0.03,0
66,20221022,0.03,5
67,20221024,0.03,19
68,20221030,0.03,3
69,20221030,0.03,3
70,20221030,0.03,3
71,20221030,0.03,3
72,20221030,0.03,3
73,20221116,0.03,0
74,20230531,0.03,10
75,20221012,0.04,11
76,20221012,0.04,25
77,20221012,0.04,24
78,20221012,0.04,10
79,20221012,0.04,27
80,20221012,0.04,25
81,20221012,0.04,26
82,20221021,0.04,20
83,20221021,0.04,10
84,20221021,0.04,30
85,20221105,0.04,0
86,20221012,0.05,15
87,20221012,0.05,0
88,20221021,0.05,3
89,20221021,0.05,90
90,20221101,0.05,3
91,20221101,0.05,3
92,20221101,0.05,3
93,20221101,0.05,3
94,20221101,0.05,3
95,20221020,0.06,20
96,20221022,0.06,72
97,20221022,0.06,72
98,20221022,0.06,72
99,20221022,0.06,72
100,20221022,0.06,72
101,20221022,0.06,72
102,20221031,0.06,3
103,20221031,0.06,3
104,20221031,0.06,3
105,20221031,0.06,3
106,20221031,0.06,3
107,20230109,0.06,0
108,20221012,0.08,5
109,20221012,0.08,5
110,20221104,0.08,3
111,20221026,0.09,40
112,20221026,0.09,41
113,20221026,0.09,39
114,20221026,0.09,32
115,20221026,0.09,38
116,20221012,0.1,5
117,20221012,0.1,0
118,20221012,0.1,10
119,20221012,0.1,5
120,20221012,0.1,5
121,20221012,0.1,5
122,20221024,0.1,55
123,20221024,0.1,53
124,20221024,0.1,52
125,20221024,0.1,51
126,20221102,0.1,3
127,20221102,0.1,3
128,20221102,0.1,3
129,20221102,0.1,3
130,20221102,0.1,3
131,20221018,0.11,85
132,20221029,0.12,0
133,20221020,0.13,75
134,20221020,0.13,75
135,20221020,0.13,75
136,20221020,0.13,75
137,20230109,0.13,0
138,20221020,0.14,3
139,20221020,0.14,3
140,20221020,0.14,3
141,20221020,0.14,3
142,20221024,0.14,3
143,20221024,0.14,3
144,20221024,0.14,3
145,20221024,0.14,3
